"utc","phase","nested_vm_entries_sec","total_intercepts_sec","__guest_run_time","__hypervisor_run_time","msr_accesses_sec","hypercalls_sec","nested_page_fault_intercepts_sec","long_spin_wait_hypercalls_sec"
"2026-09-06T00:46:02.8204966Z","baseline","0","376.24","5.72","0.09","219.55","3.99","0","0"
"2026-09-06T00:46:04.8392399Z","baseline","0","186.52","0.68","0.04","136.19","3.95","0","0"
"2026-09-06T00:46:06.8574680Z","baseline","0","152.89","0.2","0.04","117.38","2.96","0","0"
"2026-09-06T00:46:08.8930960Z","baseline","0","1206.82","2.51","0.25","616.23","516.65","0","0"
"2026-09-06T00:46:10.9173834Z","baseline","0","2280.02","4.16","0.53","1172.1","1006.21","0","0"
"2026-09-06T00:46:12.9559345Z","baseline","0","114.84","0.19","0.03","83.16","2.97","0","0"
"2026-09-06T00:46:14.9652895Z","baseline","0","93.77","0.13","0.02","66.84","2","0","0"
"2026-09-06T00:46:16.9939193Z","baseline","0","557.03","0.17","0.12","48.39","2.96","493.82","0"
"2026-09-06T00:46:19.0196550Z","baseline","0","78.75","0.12","0.02","56.82","6.98","0","0"
"2026-09-06T00:46:21.0346379Z","baseline","0","278.78","2.58","0.05","144.89","11.99","0","0"
"2026-09-06T00:46:24.3425885Z","calibrate","0","153.12","1.54","0.03","85.51","12.93","0","0"
"2026-09-06T00:46:26.3708416Z","calibrate","0","133.3","0.52","0.03","93.81","13.82","0","0"
"2026-09-06T00:46:28.3908908Z","calibrate","0","79.91","0.13","0.02","62.16","1.97","0","0"
"2026-09-06T00:46:30.4190197Z","calibrate","0","405.54","1.34","0.1","287.55","28.75","0","0"
"2026-09-06T00:46:32.4368292Z","calibrate","0","83.82","0.34","0.02","63.11","0.99","0","0"
"2026-09-06T00:46:34.4542346Z","calibrate","0","189","0.23","0.04","124","30","0","0"
"2026-09-06T00:46:36.4829607Z","calibrate","0","217.1","1.04","0.05","144.08","8.88","0","0"
"2026-09-06T00:46:38.4989933Z","calibrate","0","170.83","0.46","0.04","127.38","1.97","0","0"
"2026-09-06T00:46:40.6393947Z","observe","0","623.57","11.85","0.11","191.41","46.37","0","0"
"2026-09-06T00:46:42.6636343Z","observe","0","78833.56","0.12","13.27","0","0","0","0"
"2026-09-06T00:46:44.7182161Z","observe","0","108799.15","0.09","17.29","0","0","0","0"
"2026-09-06T00:46:46.7399773Z","observe","0","107953.15","0.07","16.88","0","0","0","0"
"2026-09-06T00:46:48.7657060Z","observe","0","91083.35","0.23","18.14","0","0","0","0"
"2026-09-06T00:46:50.7937935Z","observe","0","106474.7","0.08","16.89","0","0","0","0"
"2026-09-06T00:46:52.8132208Z","observe","0","108576.52","0.08","17.11","0","0","0","0"
"2026-09-06T00:46:54.8250057Z","observe","0","116528.99","0.07","17.86","0","0","0","0"
"2026-09-06T00:46:56.8486556Z","observe","0","113428.77","0.06","17.57","0","0","0","0"
"2026-09-06T00:46:58.8699964Z","observe","0","132259.34","0.08","20.86","0","0","0","0"
"2026-09-06T00:47:00.9092213Z","observe","0","93604.94","0.11","15.52","0","0","0","0"
"2026-09-06T00:47:02.9404392Z","observe","0","97596.49","0.09","15.7","0","0","0","0"
"2026-09-06T00:47:04.9702248Z","observe","0","114918.66","0.09","18.38","0","0","0","0"
"2026-09-06T00:47:06.9915754Z","observe","0","115437.03","0.07","17.97","0","0","0","0"
"2026-09-06T00:47:09.0125267Z","observe","0","77544.58","0.08","12.57","0","0","0","0"
"2026-09-06T00:47:11.0429005Z","observe","0","126274.12","0.09","19.29","0","0","0","0"
"2026-09-06T00:47:13.0538437Z","observe","0","119301.99","0.06","17.91","0","0","0","0"
"2026-09-06T00:47:15.0615717Z","observe","0","103577.19","0.18","17.7","0","0","0","0"
"2026-09-06T00:47:17.0750305Z","observe","0","113718.19","0.14","18.75","0","0","0","0"
"2026-09-06T00:47:19.0872443Z","observe","0","103114.73","0.12","16.97","0","0","0","0"
"2026-09-06T00:47:21.1021165Z","observe","0","117371.08","0.08","16.84","0","0","0","0"
"2026-09-06T00:47:23.1172182Z","observe","0","96147.99","0.11","14.85","0","0","0","0"
"2026-09-06T00:47:25.1326513Z","observe","0","130715.55","0.11","20.75","0","0","0","0"
"2026-09-06T00:47:27.1583849Z","observe","0","87615.48","0.09","14.5","0","0","0","0"
"2026-09-06T00:47:29.1882420Z","observe","0","122284.91","0.1","18.55","0","0","0","0"
"2026-09-06T00:47:31.2060542Z","observe","0","108808.63","0.11","17.42","0","0","0","0"
"2026-09-06T00:47:33.2260431Z","observe","0","100000.91","0.1","15.8","0","0","0","0"
"2026-09-06T00:47:35.2516700Z","observe","0","100284.88","0.11","16.34","0","0","0","0"
"2026-09-06T00:47:37.2755049Z","observe","0","117799.98","0.1","18.84","0","0","0","0"
"2026-09-06T00:47:39.3069478Z","observe","0","71191.08","0.09","11.36","0","0","0","0"
"2026-09-06T00:47:41.3214839Z","observe","0","116938.09","0.08","18.14","0","0","0","0"
