"utc","phase","nested_vm_entries_sec","total_intercepts_sec","__guest_run_time","__hypervisor_run_time","msr_accesses_sec","hypercalls_sec","nested_page_fault_intercepts_sec","total_virtualization_instructions_emulated_sec","vmread_emulation_intercepts_sec","vmwrite_emulation_intercepts_sec","vmptrld_emulation_intercepts_sec","vmclear_emulation_intercepts_sec","vmxon_emulation_intercepts_sec","vmxoff_emulation_intercepts_sec","invept_single_context_emulation_intercepts_sec","invept_all_context_emulation_intercepts_sec","emulated_instructions_sec","page_fault_intercepts_sec","memory_intercept_messages_sec","io_intercept_messages_sec","other_intercepts_sec"
"2026-09-06T00:54:25.9351423Z","baseline","0","562.72","5.3","0.2","286.86","59.97","0","0","0","0","0","0","0","0","0","0","0","0","0","119.94","0"
"2026-09-06T00:54:27.9603881Z","baseline","0","390.25","5.97","0.09","189.15","18.92","0","0","0","0","0","0","0","0","0","0","0","0","0","71.68","0"
"2026-09-06T00:54:29.9817447Z","baseline","0","1357.48","28.38","0.27","181.79","145.23","0","0","0","0","0","0","0","0","0","0","0","0","0","79.04","0"
"2026-09-06T00:54:31.9968349Z","baseline","0","815.93","30.65","0.22","206.46","75.44","0","0","0","0","0","0","0","0","0","0","0","0","0","101.25","0"
"2026-09-06T00:54:34.0190554Z","baseline","0","234.47","1.37","0.06","152.65","9.98","0","0","0","0","0","0","0","0","0","0","0","0","0","53.88","0"
"2026-09-06T00:54:36.0348607Z","baseline","0","198.05","0.22","0.05","142.03","7","0","0","0","0","0","0","0","0","0","0","0","0","0","48.01","0"
"2026-09-06T00:54:38.0637539Z","baseline","0","143.32","0.13","0.03","105.76","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","33.61","0"
"2026-09-06T00:54:40.0878623Z","baseline","0","198.26","0.54","0.04","146.97","8.88","0","0","0","0","0","0","0","0","0","0","0","0","0","37.48","0"
"2026-09-06T00:54:42.0957394Z","baseline","0","79.89","0.17","0.02","58.92","1","0","0","0","0","0","0","0","0","0","0","0","0","0","17.98","0"
"2026-09-06T00:54:44.1133500Z","baseline","0","61.31","0.06","0.02","47.47","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","11.87","0"
"2026-09-06T00:54:47.2889771Z","calibrate","0","177.81","1.18","0.04","119.87","12.99","0","0","0","0","0","0","0","0","0","0","0","0","0","33.96","0"
"2026-09-06T00:54:49.2934604Z","calibrate","0","243.87","0.5","0.05","156.92","52.97","0","0","0","0","0","0","0","0","0","0","0","0","0","31.98","0"
"2026-09-06T00:54:51.3109543Z","calibrate","0","70.14","0.1","0.01","53.35","1.98","0","0","0","0","0","0","0","0","0","0","0","0","0","13.83","0"
"2026-09-06T00:54:53.3453738Z","calibrate","0","108.99","0.13","0.02","83.23","1.98","0","0","0","0","0","0","0","0","0","0","0","0","0","21.8","0"
"2026-09-06T00:54:55.3758660Z","calibrate","0","69.1","0.07","0.02","51.33","3.95","0","0","0","0","0","0","0","0","0","0","0","0","0","13.82","0"
"2026-09-06T00:54:57.3841650Z","calibrate","0","576.3","14.36","0.1","101.88","24.97","0","0","0","0","0","0","0","0","0","0","0","0","0","47.94","0"
"2026-09-06T00:54:59.4044051Z","calibrate","0","477.68","17.85","0.11","92.77","49.35","0","0","0","0","0","0","0","0","0","0","0","0","0","47.37","0"
"2026-09-06T00:55:01.4346331Z","calibrate","0","313.09","1.72","0.09","182.31","1.98","0","0","0","0","0","0","0","0","0","0","0","0","0","105.02","0"
"2026-09-06T00:55:03.5778397Z","observe","0","652.71","16.46","0.11","98.6","46.34","0","0","0","0","0","0","0","0","0","0","0","0","0","35.49","0"
